IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.28,,,0.13,,0.48,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.22,,,0.065,,0.47,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.099,,,0.029,,0.21,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,true,Sex,Both sexes,SEX_BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.08,,,0,,0.25,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.046,,,0,,0.14,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,true,Sex,Male,SEX_MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.12,,,0,,0.36,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Both sexes,SEX_BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.35,,,0.29,,0.39,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.37,,,0.32,,0.42,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,true,Sex,Male,SEX_MLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.32,,,0.26,,0.37,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.24,,,0.16,,0.31,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.44,,,0.37,,0.5,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,true,Sex,Both sexes,SEX_BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.4,,,0.33,,0.46,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.32,,,0.27,,0.36,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,true,Sex,Female,SEX_FMLE,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.35,,,0.28,,0.41,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Both sexes,SEX_BTSX,Cause,"Trachea, bronchus, lung cancers",ENVCAUSE_ENVCAUSE068,,,,,,,0.38,,,0.32,,0.44,0 [0-0],,,EN,2022-08-25T22:00:00.000Z
